SDG 2 — Zero Hunger 

BSIT 1031 | A comprehensive healthcare web portal for San Antonio life care hospital with advance analytics dashboard 
BSIT 1039 | Implementing a web-based senior citizen health and medication management system in San Jose, Batangas: leveraging a comprehensive it solution with an integrated electronic health record platform 
BSIT 1041 | GIS-based health analytics and inventory management system for municipality of San Luis health center 
BSIT 1051 | Dermacare Appointment System and Inventory Management System 
BSIT 1052 | Developing a Comprehensive Mobile Application for Scheduling HIV Testing and Telemedicine Service for HIV and Aids Support House Organization (HASH) 
BSIT 1055 | Vet Care: A Web-Based Appointment Scheduling with Inventory and Information Management System for Veterinarius Animal Clinic 
BSIT 1059 | Streamlining Pharmaceutical Services: YenYan's Online Ordering and Management Solution 
BSIT 1060 | Dental ease: optimizing digitalized operations through a web-based and mobile application approach for tooth talks dental clinic 
BSIT 1067 | Enhanced Medical Services Management System of Laboratory Clinic in San Jose Batangas through Patient Appointments, Supply and Equipment Monitoring 
BSIT 1071 | Web-system for KSY Beauty and Wellness Center: enhancing customer experience and business operations through a comprehensive mobile app 
BSIT 1076 | Health management system with case monitoring and appointment scheduling in Batangas State University Health Service Office
BSIT 1081 | Labsphere: optimizing imho clinical laboratory with scheduling management system and live chat for enhanced healthcare delivery 
BSIT 1082 | Web-based inventory management system with supplies forecasting and descriptive analytics for san jose district hospital 
BSIT 1092 | Cloud-based record and appointment management system for my dental care clinic with descriptive analytics 
BSIT 1094 | Outpatient information management system WITH resource allocation optimization FOR united doctors OF st camillus DE lellis hospital AND medical center 
BSIT 1106 | PharmAssist: Decision Support System for Pomona Pharmaceutical Distribution Inc. 
BSIT 1115 | Optimizing pet care, revolutionizing service management with a mobile app for petaholic veterinary clinic featuring inventory mangement and appointment scheduling 
BSIT 1119 | Wellzone scheduler: Integrated patient record and appointment management system with mobile-based medical result notifications 
BSIT 1122 | Web-based patient management system with integrated messaging for ob-gyn clinic 
BSIT 1148 | Implementation of a Role-based Data Management and Reporting System for the Batangas Medical Center Department of Surgery 
BSIT 1158 | PHARMASYS: Web Based Pharmacy Management System With Integrated Pre Ordering System for Yvette Parmacia 
BSIT 1161 | Smart Wellness Kiosk: An lot Solution For Quick Health Screening For Castillo's Children Clinic 
BSIT 1163 | Pediatric Analysis System to Enhance Pediatric Patient Care for Castillo Children's Clinic 
BSIT 1164 | GCARE CONNECT: Automated Appointment and Patient Feedback System with Sentiment Analysis Using NLP For Global Care Medical Center of Canlubang 
BSIT 1166 | PAWS: Pet Analytics and Wellness System A Data-Driven Healthcare Insight Platform for Bath and Bark Grooming and Veterinary Services 
BSIT 1168 | PRASIE (Patient Record, Appointments, SMS A nnouncements, Income, Expenses): Optimizing Clinic Operations With Data-Driven Insight For Dream Smile Dental Clinic 
BSIT 1169 | Web-based Smart Inventory and Monitoring System for Blessing Pharma and Medical Supplies Trading 
BSIT 1187 | Pharmacy Inventory and Sales Tracking Through Point of Sale Integration for Donrose Pharmacy 
BSIT 1189 | IoT-Based Smart Beekeeping: Monitoring beehive Sustem for Saranhae Honey Bee Farm 
BSIT 1190 | IOT-Enabled Smart Cap with chest bag for fall and seizure detection, heart rate monitoring, amd medication alert via application (calm link) for individuals with epilepsy 
BSIT 1207 | Iot-enabled healthcare kiosk for preliminary check-up using integrated RFID health card for Batangas State University-Alangilan Students 

SDG 4 — Quality Education
 
BSIT 0005 | The digestive guardian: an educational game of human digestive system 
BSIT 0006 | E-Grade submission system (EGSS) of Batangas State University 
BSIT 0011 | Foster Wheeler library management system using KOHA 
BSIT 0012 | Proposed wide area network design for Batangas state university using WIMAX technology 
BSIT 0021 | A web-based information system for the guidance & counseling office of Batangas State University 
BSIT 0030 | E-learning module on logic circuits and switching theory 
BSIT 0038 | iCheck: An automated examination checker 
BSIT 0043 | Information system kiosk of Batangas State University multipurpose cooperative 
BSIT 0046 | Office of student services online system of Batangas State University 
BSIT 0052 | Online classroom monitoring system with voice and alarm 
BSIT 0059 | Batangas State University income generating projects online system 
BSIT 0062 | Batangas State University online qualitative contribution evaluation (QCE) system for faculty teaching effectiveness 
BSIT 0064 | Online test facility for Batangas State University 
BSIT 0065 | Mindoro State College of Agriculture and Technology (MinSCAT) online grading system 
BSIT 0067 | Batangas State University-online property and supply request monitoring system
BSIT 0068 | Online admission test of BatStateU testing & admission office for college students 
BSIT 0069 | "Web-based hostel reservation system of Batangas State University" 
BSIT 0070 | Bubble trouble: an android based educational game 
BSIT 0072 | Batangas State University employee’s information retrieval system via SMS 
BSIT 0073 | Computerized enrollment system of public national high school 
BSIT 0074 | BatStateU online evaluation of enrollment for ICS department 
BSIT 0075 | Masaguitsit Banalo national high school online library management information system 
BSIT 0086 | Kiddies Game: An android- based educational game 
BSIT 0094 | Wifi capture server: a wireless network management and security system for Batangas State University Main campuses I and II 
BSIT 0096 | Egg Blast Quiz Game: An android -based mobile game 
BSIT 0119 | Space Panda: A 3D educational game 
BSIT 0125 | Batangas State University Main Campus II Lan chat 
BSIT 0131 | Web-based mobile class record in an android platform 
BSIT 0132 | Online grading system of Mabini college of Batangas 
BSIT 0135 | Bauan technical high school web portal 
BSIT 0137 | Student management record system of Carmel School of Batangas 
BSIT 0140 | E-learning system facilities for CICS 
BSIT 0144 | Management information system for the infirmary department of Batangas State University 
BSIT 0146 | Batangas State University CICS computer laboratory monitoring system 
BSIT 0150 | Library management system of St. James academy using biometrics 
BSIT 0152 | Enrollment queuing system of Batangas State University 
BSIT 0154 | Banaba West national high school library management information system with QR Code reader 
BSIT 0155 | Attendance system using RFID with SMS for Alitagtag College of High School Department 
BSIT 0159 | Web-based examination for the incoming grade 7 students of Bauan Technical High School 
BSIT 0161 | Web-based system for the guidance office of Batangas State University 
BSIT 0162 | Enrollment queuing system of Batangas State University 
BSIT 0167 | Web portal of Tabangao National High School 
BSIT 0170 | Informatics and Computing Sciences learning management system 
BSIT 0173 | Batangas State University Faculty Monitoring system 
